DA4l,DC1,DL4,DL5,DM3,DM4,DP1m,VA2,VA4,VA6,VA7l,VC1,VC2,VL2a,VL2p,VM4,D,DA1,DA2,DA4m,DC2,DL2d,DL3,DM2,DM5,DM6,DP1l,VA1d,VA1v,VA3,VA5,VA7m,VM1,VM2,VM3,VM7d,VM7v,VM5d,DM1,V,Glomerulus 1,Glomerulus 2,Glomerulus 3,DC3,DL1,VL1,DA3,DC4,DL2v,VC4,VM5v,VM6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0008960854051007,,,,,,0.0,0.0178985050291826,0.0025069359406937,0.0,0.0019750870697842,,,,0.0025304159263581
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0067074320455334,,,,,,,,,,,,0.0010398166608765,0.0156671633863643,0.0,0.0086957241050499,,,,,0.0019127438895888
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0188132504210668,,,,,,0.0039090290809766,0.0130676089304394,0.001836096242426,0.0502357171940425,,,,,0.0044145261449326
,,,0.0352939233534282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0270535452003829,0.0007245367621407,,,,,,0.001830460914151
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0238109222010737,0.0,,,,,,0.0029555371054982
,,,,,,,,,0.0018614672398423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0168371695778685,0.0007757953091601,,,,,,0.0006487074529073
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0052889045693089,,,,,,,,,0.0023701536611826,0.000846835475032,,,,,,0.0017383878164353
,,,,,,,,,,,,,,,0.0329860738030056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0180491663230188,0.0015055976902069,,,,,,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0016593299143564,,,,,,,,,,,,,,0.008418055249078,0.0011702115176423,,,,,,0.0051813975251188
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00940842732695,,,,,,0.0071942480501999,0.0019865274423894,,,,,,0.0085929054298275
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0054526809159676,0.0162345664520606,,,,,,0.0007567035630867
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0175075463977254,,,,,,0.0143752848316383,0.0005433218685197,,,,,,0.0028876227081375
,,,,,,,0.0012656657543323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0113028660995645,0.0025927968626042,,,,,,0.0031720108646891
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0203339210385593,,,,,,,0.0085383680250894,0.0,,,,,,0.0104924306594938
,,,,,,,,,,,,,,,,,0.0042158087918553,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0056554468851157,0.0012039037794284,,,,,,0.0034490951448841
,,,,,,,,,,,,,,,,,0.0033303279468553,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0145898192294669,0.0,,,,,,0.0090195669970241
,,,,,,,,,,,,,,,,,,,,,,,0.0076630512629131,,,,,,,,,,,,,,,,,,,,,0.0214310898028224,0.0007138097395446,,,,,,0.0003241688231995
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0150686926860542,,,,,,,,,0.0197877641981213,0.0,,,,,,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,0.0204036652261119,,,,,,,,,,,,,,,,,,0.0190481149130478,0.0016501386155657,,,,,,0.0029211975950127
,,,,,,,,,,,,,,,,,0.0055934948791483,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0126800113246544,0.0010295488014,,,,,,0.0024450004122394
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0126702612870901,0.0,,,,,,0.0026347311846976
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0063855575375895,0.0,,,,,,0.0014270367955774
,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0094053460186805,0.0010544147887195,,,,,,0.0056687993970334
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0037211178681892,,,,,0.0302348281439555,0.0,,,,,,0.0041624338205133
