DA4l,DC1,DL4,DL5,DM3,DM4,DP1m,VA2,VA4,VA6,VA7l,VC1,VC2,VL2a,VL2p,VM4,D,DA1,DA2,DA4m,DC2,DC3,DL1,DL2d,DL3,DM2,DM5,DM6,DP1l,VA1d,VA1v,VA3,VA5,VA7m,VL1,VM1,VM2,VM3,VM7d,VM7v,VM5d,DM1,V,DA3,DC4,DL2v,VC4,VC5,VM5v,Glomerulus 1,Glomerulus 2,Glomerulus 3
,,,,,,,,,,,,,,,,,136008.16388715658,,,,,,,,,,,,85988.30551189408,94380.4919899131,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,74333.41824658323,,,,,,,,,,,,142978.287697351,0.0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,97151.53871083536,,,,,,,,,,,,120623.6469181464,128654.09292499142,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,162311.57331588687,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,124953.0792819188,,,,,,,,,,,,,170110.72670138063,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,19672.31261555408,,,,,,,,,,,,,54276.22938741994,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,110674.11948773552,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,85423.00801247,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,73421.79316478275,,,,,,,,,,,,,157616.01350908092,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,78514.90269930271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,127109.26872421708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,87888.60561650206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,129189.72977436756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,137371.33323772933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,137702.14185653062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,105225.03454708795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,52778.27571220888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,54524.38767836602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,135642.4413070211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,20239.44729227062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,80096.4661566643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,97870.48446309856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,60496.14757765037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
